grafo,best,conv,avg,worst,time,procs,conf
morady/TG17,37,62/100,37.38,38,0.114,4,6
morady/TG18,440,32/100,466.2,520,0.111,4,6
morady/TGG9,16,100/100,16,16,0.093,4,6
morady/TGG11,49,100/100,49,49,0.1,4,6
morady/TGGG11,12,100/100,12,12,0.097,4,6
gauss/GAUSS18,44,21/100,47.06,52,0.114,4,6
gauss/gauss27,67,4/100,72.7,80,0.134,4,6
gauss/gauss35,91,1/100,97.4,106,0.166,4,6
gauss/gauss44,118,2/100,124.91,134,0.187,4,6
gauss/gauss65,177,1/100,188.58,201,0.234,4,6
laplace/laplace9,520,100/100,520,520,0.095,4,6
laplace/laplace16,760,92/100,762,800,0.111,4,6
laplace/laplace25,1000,3/100,1043,1080,0.13,4,6
laplace/laplace36,1300,3/100,1354.3,1420,0.168,4,6
fft/fft15,560,96/100,560.8,580,0.109,4,6
fft/fft39,820,2/100,880.8,940,0.17,4,6
fft/fft95,1620,1/100,1683.4,1740,0.279,4,6
fft/fft223,3540,1/100,3661.4,3860,0.53,4,6
random/random30,751,24/100,782.87,828,0.153,4,6
random/random40,557,1/100,580.8,636,0.186,4,6
random/random50,496,3/100,521.16,560,0.187,4,6
morady/TG4,34,100/100,34,34,0.091,4,7
morady/TG9,21,100/100,21,21,0.119,4,7
morady/TG10,83,100/100,83,83,0.125,4,7
morady/TG11,20,100/100,20,20,0.134,4,7
morady/TG12,27,40/100,29.62,33,0.137,4,7
morady/TG14,35,10/100,37.15,39,0.147,4,7
morady/TG17,37,63/100,37.38,39,0.166,4,7
morady/TG18,440,5/100,486.9,550,0.168,4,7
morady/TGG9,16,100/100,16,16,0.118,4,7
morady/TGG11,49,100/100,49,49,0.13,4,7
morady/TGGG11,12,100/100,12,12,0.13,4,7
gauss/GAUSS18,44,5/100,48.08,52,0.166,4,7
gauss/gauss27,69,7/100,74.64,82,0.216,4,7
gauss/gauss35,93,2/100,98.98,104,0.273,4,7
gauss/gauss44,118,1/100,126.47,136,0.324,4,7
gauss/gauss65,177,3/100,189.32,201,0.44,4,7
laplace/laplace9,520,100/100,520,520,0.113,4,7
laplace/laplace16,760,83/100,764.6,800,0.154,4,7
laplace/laplace25,1000,2/100,1051.3,1110,0.203,4,7
laplace/laplace36,1300,1/100,1361.6,1420,0.277,4,7
fft/fft15,560,95/100,561,580,0.148,4,7
fft/fft39,840,5/100,874.8,940,0.291,4,7
fft/fft95,1620,4/100,1661.2,1720,0.604,4,7
fft/fft223,3540,6/100,3581.8,3640,1.351,4,7
random/random30,751,31/100,774.13,828,0.252,4,7
random/random40,559,4/100,578.5,618,0.323,4,7
random/random50,496,4/100,517.24,552,0.35,4,7
morady/TG4,34,100/100,34,34,0.077,4,8
morady/TG9,21,90/100,21.2,23,0.09,4,8
morady/TG10,83,98/100,83.1,88,0.093,4,8
morady/TG11,20,96/100,20.04,21,0.099,4,8
morady/TG12,27,39/100,29.52,33,0.1,4,8
morady/TG14,35,21/100,36.94,43,0.104,4,8
