,grafo,best,conv,avg,worst,time,procs,conf,deviation
373,fft/fft95,1640,0,1687.8,1760,0.444,4,13,0.05487499999999997
374,fft/fft223,3580,0,3721.8,3920,1.6869999999999998,4,13,0.05732954545454551
375,random/random30,751,21,781.3,828,0.135,4,13,0.040346205059920044
376,random/random40,557,0,582.25,618,0.179,4,13,0.05863636363636364
377,random/random50,496,3,520.76,572,0.2,4,13,0.049919354838709656
378,morady/TG4,34,100,34.0,34,0.047,4,14,0.0
379,morady/TG9,21,100,21.0,21,0.055999999999999994,4,14,0.0
380,morady/TG10,83,100,83.0,83,0.063,4,14,0.0
381,morady/TG11,20,100,20.0,20,0.062,4,14,0.0
382,morady/TG12,27,56,28.8,33,0.061,4,14,0.0666666666666667
383,morady/TG14,35,26,36.76,39,0.064,4,14,0.05028571428571423
384,morady/TG17,37,67,37.33,38,0.073,4,14,0.008918918918918873
385,morady/TG18,440,24,469.0,490,0.07400000000000001,4,14,0.0659090909090909
386,morady/TGG9,16,100,16.0,16,0.057,4,14,0.0
387,morady/TGG11,49,100,49.0,49,0.062,4,14,0.0
388,morady/TGGG11,12,100,12.0,12,0.065,4,14,0.0
389,gauss/GAUSS18,44,28,46.96,55,0.073,4,14,0.06727272727272729
390,gauss/gauss27,67,11,71.61,78,0.085,4,14,0.06880597014925373
391,gauss/gauss35,92,0,96.17,102,0.10300000000000001,4,14,0.05681318681318683
392,gauss/gauss44,116,1,123.12,132,0.113,4,14,0.061379310344827624
393,gauss/gauss65,177,0,186.33,196,0.14400000000000002,4,14,0.07705202312138736
394,laplace/laplace9,520,100,520.0,520,0.055,4,14,0.0
395,laplace/laplace16,760,90,763.1,800,0.069,4,14,0.004078947368421082
396,laplace/laplace25,1000,3,1043.9,1100,0.083,4,14,0.04390000000000009
397,laplace/laplace36,1300,0,1359.4,1410,0.11,4,14,0.07888888888888897
398,fft/fft15,560,94,561.2,580,0.067,4,14,0.002142857142857224
399,fft/fft39,840,0,874.8,940,0.10800000000000001,4,14,0.06682926829268288
400,fft/fft95,1620,0,1658.0,1720,0.18600000000000003,4,14,0.03625
401,fft/fft223,3540,0,3608.4,3700,0.389,4,14,0.02511363636363639
402,random/random30,751,27,777.23,828,0.11199999999999999,4,14,0.034926764314247696
403,random/random40,551,0,576.26,620,0.131,4,14,0.04774545454545453
404,random/random50,496,3,516.88,556,0.114,4,14,0.042096774193548375
