grafo,best,conv,avg,worst,time,procs,conf
fft/fft223,3600,3,3704.4,3860,0.185,4,1
random/random30,751,26,778.45,900,0.05,4,1
random/random40,552,1,590.27,632,0.059,4,1
random/random50,496,4,521.04,552,0.055,4,1
morady/TG4,34,100,34,34,0.026,4,2
morady/TG9,21,98,21.04,23,0.031,4,2
morady/TG10,83,100,83,83,0.032,4,2
morady/TG11,20,97,20.03,21,0.033,4,2
morady/TG12,27,63,28.5,33,0.032,4,2
morady/TG14,35,26,36.75,40,0.034,4,2
morady/TG17,37,53,37.5,39,0.04,4,2
morady/TG18,440,25,467.3,510,0.038,4,2
morady/TGG9,16,100,16,16,0.03,4,2
morady/TGG11,49,100,49,49,0.033,4,2
morady/TGGG11,12,100,12,12,0.032,4,2
gauss/GAUSS18,44,34,46.65,51,0.038,4,2
gauss/gauss27,67,3,73.48,81,0.046,4,2
gauss/gauss35,92,1,98.77,107,0.054,4,2
gauss/gauss44,116,1,125.38,134,0.061,4,2
gauss/gauss65,178,2,190.61,206,0.078,4,2
laplace/laplace9,520,100,520,520,0.03,4,2
laplace/laplace16,760,84,764.7,800,0.036,4,2
laplace/laplace25,1020,4,1055.6,1110,0.045,4,2
laplace/laplace36,1300,2,1365.3,1430,0.057,4,2
fft/fft15,560,84,563.2,580,0.037,4,2
fft/fft39,840,2,889.6,980,0.058,4,2
fft/fft95,1620,1,1717.2,1860,0.096,4,2
fft/fft223,3640,1,3757,4000,0.206,4,2
random/random30,751,16,790.82,872,0.056,4,2
random/random40,550,1,584.38,621,0.067,4,2
random/random50,496,1,528.32,576,0.062,4,2
morady/TG4,34,100,34,34,0.062,4,3
morady/TG9,21,100,21,21,0.073,4,3
morady/TG10,83,100,83,83,0.076,4,3
morady/TG11,20,100,20,20,0.075,4,3
morady/TG12,27,32,29.55,33,0.076,4,3
morady/TG14,35,16,36.91,41,0.079,4,3
morady/TG17,37,57,37.43,38,0.088,4,3
morady/TG18,440,1,486.8,550,0.085,4,3
morady/TGG9,16,100,16,16,0.075,4,3
morady/TGG11,49,100,49,49,0.082,4,3
morady/TGGG11,12,100,12,12,0.078,4,3
gauss/GAUSS18,44,6,48.74,55,0.088,4,3
gauss/gauss27,69,3,74.93,81,0.107,4,3
gauss/gauss35,94,4,99.33,107,0.127,4,3
gauss/gauss44,121,4,127.14,136,0.143,4,3
gauss/gauss65,181,1,191.96,202,0.185,4,3
laplace/laplace9,520,100,520,520,0.078,4,3
laplace/laplace16,760,92,762.9,800,0.087,4,3
laplace/laplace25,1000,4,1051.6,1110,0.105,4,3
laplace/laplace36,1300,1,1364.5,1400,0.131,4,3
fft/fft15,560,99,560.2,580,0.086,4,3
fft/fft39,840,4,879,940,0.137,4,3
fft/fft95,1620,2,1661,1720,0.244,4,3
fft/fft223,3540,2,3578.4,3620,0.492,4,3
random/random30,751,25,784.89,828,0.122,4,3
random/random40,558,2,581.66,625,0.152,4,3
random/random50,496,2,524.16,572,0.148,4,3
morady/TG4,34,100,34,34,0.03,4,4
morady/TG9,21,100,21,21,0.039,4,4
morady/TG10,83,100,83,83,0.04,4,4
morady/TG11,20,100,20,20,0.041,4,4
morady/TG12,27,28,29.84,33,0.041,4,4
morady/TG14,35,14,36.97,39,0.044,4,4
morady/TG17,37,51,37.49,38,0.052,4,4
morady/TG18,440,3,483.7,530,0.052,4,4
morady/TGG9,16,100,16,16,0.038,4,4
morady/TGG11,49,100,49,49,0.042,4,4
morady/TGGG11,12,100,12,12,0.041,4,4
gauss/GAUSS18,44,4,48.6,54,0.052,4,4
gauss/gauss27,69,6,74.73,80,0.077,4,4
gauss/gauss35,94,7,99.91,104,0.089,4,4
gauss/gauss44,120,2,126.94,135,0.104,4,4
gauss/gauss65,178,1,192.28,202,0.139,4,4
